model,type,family,run_idx,sentence,reason
claude-sonnet-4.6,LLM,claude,1,The dog that chased the cat slept.,"pos 3 is ""chased"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,1,The woman who called the doctor smiled.,relative pronoun: who
claude-sonnet-4.6,LLM,claude,1,The boy who kicked the ball ran.,relative pronoun: who
claude-sonnet-4.6,LLM,claude,1,The scientist who solved the problem laughed.,relative pronoun: who
claude-sonnet-4.6,LLM,claude,1,The bird that escaped the cage sang.,"pos 3 is ""escaped"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,2,The book that she borrowed disappeared.,"pos 2 is ""that"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,2,The letter that he wrote arrived.,"pos 2 is ""that"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,2,The cake that they baked vanished.,"pos 2 is ""that"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,2,The car that she bought broke down.,"pos 3 is ""she"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,3,The dog my neighbor adopted barked all night.,wrong length: 8 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,3,The woman I admired most succeeded brilliantly.,"pos 3 is ""admired"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,3,The singer everyone adored disappeared suddenly.,"pos 2 is ""everyone"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,4,The dog my neighbor adopted yesterday barked.,"pos 3 is ""neighbor"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,4,A book she found on the shelf disappeared.,wrong length: 8 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,4,The car he bought last summer rusted.,"pos 3 is ""bought"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,4,The woman we met at the party laughed.,wrong length: 8 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,5,The dog chased by the cat trembled.,"pos 3 is ""by"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,5,The book left on the shelf disappeared.,"pos 3 is ""on"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,5,The child ignored by the teacher wept.,"pos 3 is ""by"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,5,The car abandoned in the lot rusted.,"pos 3 is ""in"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,5,The man hired last week resigned.,"pos 2 is ""hired"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,6,The cat that the dog that the child owns chased ran away.,wrong length: 12 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,6,The bird that the hawk that the storm frightened startled disappeared.,wrong length: 11 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,6,The leaf that the wind that the autumn brought stirred fell.,wrong length: 11 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,6,The rabbit that the fox that the farmer kept scared fled.,wrong length: 11 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,6,The fish that the heron that the boy watched hunted swam.,wrong length: 11 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,7,The sculpture a renowned artist carved downtown gleamed.,wrong length: 8 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,7,The melody a young composer wrote last spring lingered.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,7,The bridge engineers designed over decades collapsed.,"pos 3 is ""designed"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,7,The poem a grieving mother penned overnight resonated.,wrong length: 8 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,7,The garden a blind gardener tended for years bloomed.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,8,The dog my neighbor rescued yesterday barked.,"pos 3 is ""neighbor"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,8,The bridge engineers inspected last week collapsed.,"pos 3 is ""inspected"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,9,The book she borrowed yesterday disappeared.,"pos 2 is ""she"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,9,The car he fixed last week stalled.,"pos 3 is ""fixed"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,9,The woman I admired greatly succeeded.,"pos 2 is ""i"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,9,A letter my mother wrote arrived.,"pos 2 is ""my"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,11,The dog that had been barking all night finally slept.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,11,The children who were playing in the park laughed.,relative pronoun: who
claude-sonnet-4.6,LLM,claude,11,The man who had traveled for days rested.,relative pronoun: who
claude-sonnet-4.6,LLM,claude,11,The flowers that bloomed in spring wilted.,"pos 3 is ""bloomed"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,11,The student who studied hardest succeeded.,relative pronoun: who
claude-sonnet-4.6,LLM,claude,12,The dog that chased the cat barked.,"pos 3 is ""chased"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,12,The woman who painted the mural smiled.,relative pronoun: who
claude-sonnet-4.6,LLM,claude,12,The boy who kicked the ball tripped.,relative pronoun: who
claude-sonnet-4.6,LLM,claude,12,The engineer who designed the bridge retired.,relative pronoun: who
claude-sonnet-4.6,LLM,claude,12,The bird that caught the worm sang.,"pos 3 is ""caught"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,13,The painting that the artist created last summer survived.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,13,The manuscript that the professor reviewed last week resurfaced.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,14,The book that she borrowed disappeared.,"pos 2 is ""that"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,14,The dog that he trained performed.,"pos 2 is ""that"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,14,The letter that they wrote arrived.,"pos 2 is ""that"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,14,The car that she drives accelerates.,"pos 2 is ""that"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,14,The song that he composed endures.,"pos 2 is ""that"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,17,The dog my neighbor adopted barked all night.,wrong length: 8 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,17,The singer everyone admired performed brilliantly.,"pos 2 is ""everyone"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,17,The bridge engineers inspected collapsed suddenly.,"pos 2 is ""engineers"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,17,The flowers she planted bloomed beautifully.,"pos 2 is ""she"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,19,The cake that Maria baked vanished.,"pos 2 is ""that"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,20,The letter that she wrote carefully disappeared.,"pos 3 is ""she"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,22,"The broken leg was set by the orthopedic surgeon, and the patient walked without a limp six weeks later.",coordination (and/or)
claude-sonnet-4.6,LLM,claude,22,"After the accountant audited the company's books, several costly discrepancies were identified and corrected.",coordination (and/or)
claude-sonnet-4.6,LLM,claude,22,"The mechanic overhauled the engine, and the car ran smoothly for another fifty thousand miles.",coordination (and/or)
claude-sonnet-4.6,LLM,claude,22,"Once the architect redesigned the building's foundation, the structure passed all safety inspections with high marks.",wrong length: 16 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,22,"The chef carefully seasoned and slow-roasted the lamb, resulting in a tender and flavorful dish that delighted every guest.",coordination (and/or)
claude-sonnet-4.6,LLM,claude,23,The book she read yesterday disappeared.,"pos 2 is ""she"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,23,The cat my neighbor adopted constantly meows.,"pos 3 is ""neighbor"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,23,The letter he wrote carefully survived.,"pos 2 is ""he"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,24,The dog that chased the cat barked.,"pos 3 is ""chased"", expected det (the/a)"
claude-sonnet-4.6,LLM,claude,24,The woman who painted the mural laughed.,relative pronoun: who
claude-sonnet-4.6,LLM,claude,24,The child who broke the vase cried.,relative pronoun: who
claude-sonnet-4.6,LLM,claude,24,The teacher who graded the papers sneezed.,relative pronoun: who
claude-sonnet-4.6,LLM,claude,24,The man who fixed the car smiled.,relative pronoun: who
claude-sonnet-4.6,LLM,claude,27,"The chef seasoned the steak, the steak sizzling beautifully on the grill.",wrong length: 12 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,27,"The painter brushed the canvas, the canvas absorbing every stroke of color.",wrong length: 12 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,27,"The teacher corrected the essay, the essay emerging cleaner and more precise.",coordination (and/or)
claude-sonnet-4.6,LLM,claude,27,"The mechanic tightened the bolt, the bolt holding the engine firmly in place.",wrong length: 13 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,27,"The gardener watered the roses, the roses blooming brilliantly by the next morning.",wrong length: 13 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,28,The letter written by the diplomat caused an international incident.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,28,The bridge built by engineers collapsed during the storm.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,28,The painting stolen from the museum was recovered by police.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,28,The report submitted by the committee influenced the final decision.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6,LLM,claude,28,The machine designed by the inventor revolutionized the entire industry.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,4,The cake the chef baked disappeared within minutes.,wrong length: 8 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,4,The letter the professor wrote confused all of his students.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,4,The dog the neighbors adopted escaped through the fence yesterday.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,4,The report the manager submitted caused a serious scandal.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,4,The car the mechanic fixed broke down again on the highway.,wrong length: 11 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,5,The book fell off the shelf surprised everyone in the room.,wrong length: 11 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,5,The man spoke too quietly confused the entire audience.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,5,The dog barked all night kept the neighbors awake.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,5,The student studied hardest passed the final exam.,wrong length: 8 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,5,The car broke down on the highway cost a fortune to repair.,wrong length: 12 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,7,The letter written by the professor confused the entire class.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,7,The painting stolen by the thief was recovered by detectives last week.,wrong length: 12 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,7,The cake baked by my grandmother disappeared before dinner ended.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,7,The report submitted by the intern impressed the entire board.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,7,The bridge designed by the famous engineer collapsed during the storm.,wrong length: 11 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,9,The report that the manager reviewed contained several critical errors.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,9,The painting that the curator selected was displayed in the main hall.,wrong length: 12 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,9,The letter that the lawyer drafted outlined the terms of the agreement.,wrong length: 12 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,9,The bridge that the engineers designed collapsed during the storm.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,9,The novel that the professor assigned became a topic of heated debate.,wrong length: 12 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,12,The patient the surgeon operated on recovered within days.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,12,The athlete the coach trained improved dramatically by season's end.,wrong length: 10 words (expected 6 or 7)
