model,type,family,run_idx,sentence
claude-sonnet-4.6,LLM,claude,2,The dog that the boy found barked.
claude-sonnet-4.6,LLM,claude,3,The students the professor challenged thrived academically.
claude-sonnet-4.6,LLM,claude,3,The athlete the coaches selected performed flawlessly.
claude-sonnet-4.6,LLM,claude,4,A flower the gardener planted overnight bloomed.
claude-sonnet-4.6,LLM,claude,8,The students the professor challenged daily succeeded.
claude-sonnet-4.6,LLM,claude,8,The singer the crowd adored endlessly disappeared.
claude-sonnet-4.6,LLM,claude,8,The plan the committee discussed thoroughly failed.
claude-sonnet-4.6,LLM,claude,9,A dog the neighbors owned barked.
claude-sonnet-4.6,LLM,claude,10,The cat the neighbor feeds sleeps.
claude-sonnet-4.6,LLM,claude,10,The book the scholar wrote disappeared.
claude-sonnet-4.6,LLM,claude,10,The bridge the engineers built collapsed.
claude-sonnet-4.6,LLM,claude,10,The song the children sang echoed.
claude-sonnet-4.6,LLM,claude,10,The painting the artist created survived.
claude-sonnet-4.6,LLM,claude,13,The novel that the editor reviewed yesterday sold.
claude-sonnet-4.6,LLM,claude,13,The report that the committee examined carefully disappeared.
claude-sonnet-4.6,LLM,claude,13,The sculpture that the designer crafted overnight crumbled.
claude-sonnet-4.6,LLM,claude,15,The patient that the doctor examined yesterday recovered.
claude-sonnet-4.6,LLM,claude,15,The manuscript that the editor reviewed carefully disappeared.
claude-sonnet-4.6,LLM,claude,15,The painting that the artist restored completely vanished.
claude-sonnet-4.6,LLM,claude,15,The athlete that the coach trained rigorously excelled.
claude-sonnet-4.6,LLM,claude,15,The building that the architect designed eventually collapsed.
claude-sonnet-4.6,LLM,claude,16,The book the scholar read crumbled.
claude-sonnet-4.6,LLM,claude,16,The cake the baker made disappeared.
claude-sonnet-4.6,LLM,claude,16,The bridge the engineer built collapsed.
claude-sonnet-4.6,LLM,claude,16,The song the musician wrote resonated.
claude-sonnet-4.6,LLM,claude,16,The garden the gardener planted flourished.
claude-sonnet-4.6,LLM,claude,17,The student the professor praised graduated early.
claude-sonnet-4.6,LLM,claude,18,The patient that the surgeon operated on recovered.
claude-sonnet-4.6,LLM,claude,18,The manuscript that the editor revised circulated.
claude-sonnet-4.6,LLM,claude,18,The building that the architect designed stood.
claude-sonnet-4.6,LLM,claude,18,The athlete that the coach trained competed.
claude-sonnet-4.6,LLM,claude,18,The painting that the restorer preserved survived.
claude-sonnet-4.6,LLM,claude,19,The dog that the boy chased disappeared.
claude-sonnet-4.6,LLM,claude,19,The letter that the lawyer drafted arrived.
claude-sonnet-4.6,LLM,claude,19,The bird that the cat startled fled.
claude-sonnet-4.6,LLM,claude,19,The ship that the storm damaged sank.
claude-sonnet-4.6,LLM,claude,20,The bridge that the engineers reinforced eventually collapsed.
claude-sonnet-4.6,LLM,claude,20,The tree that the storm uprooted slowly decayed.
